,mirna,fam,count
140,Hsa-Mir-450-P1_pre,Mir-450,4
141,Hsa-Mir-133-P1-v1_pre,Mir-133,3
142,Hsa-Mir-498_pre,Mir-498,4
143,Hsa-Mir-10-P2c_pre,Mir-10,4
144,Hsa-Mir-430-P22_pre,Mir-430,2
145,Hsa-Mir-199-P2-v3_pre,Mir-199,3
146,Hsa-Mir-342_pre,Mir-342,3
147,Hsa-Mir-3173_pre,Mir-3173,4
148,Hsa-Mir-506-P1_pre,Mir-506,4
149,Hsa-Mir-1266_pre,Mir-1266,4
150,Hsa-Mir-499_pre,Mir-499,4
151,Hsa-Mir-1914_pre,Mir-1914,2
152,Hsa-Mir-92-P1b_pre,Mir-92,4
153,Hsa-Mir-210_pre,Mir-210,0
154,Hsa-Mir-154-P10_pre,Mir-154,2
155,Hsa-Mir-145_pre,Mir-145,3
156,Hsa-Mir-430-P24_pre,Mir-430,3
157,Hsa-Mir-430-P26_pre,Mir-430,3
158,Hsa-Mir-430-P41_pre,Mir-430,4
159,Hsa-Mir-148-P3_pre,Mir-148,4
160,Hsa-Mir-199-P3-v3_pre,Mir-199,3
161,Hsa-Mir-7151_pre,Mir-7151,3
162,Hsa-Mir-154-P14_pre,Mir-154,2
163,Hsa-Let-7-P2a1_pre,Let-7,4
164,Hsa-Mir-452-v2_pre,Mir-452,3
165,Hsa-Mir-451_pre,Mir-451,4
166,Hsa-Mir-26-P2_pre,Mir-26,4
167,Hsa-Mir-361-v1_pre,Mir-361,4
168,Hsa-Mir-188-P3_pre,Mir-188,4
169,Hsa-Mir-430-P11b_pre,Mir-430,0
170,Hsa-Mir-146-P2_pre,Mir-146,2
171,Hsa-Mir-430-P3_pre,Mir-430,4
172,Hsa-Mir-154-P20-v1_pre,Mir-154,2
173,Hsa-Mir-423_pre,Mir-423,4
174,Hsa-Let-7-P2b1_pre,Let-7,4
175,Hsa-Mir-1-P1_pre,Mir-1,3
176,Hsa-Mir-506-P8_pre,Mir-506,4
177,Hsa-Let-7-P2c2_pre,Let-7,4
178,Hsa-Mir-24-P1_pre,Mir-24,0
179,Hsa-Mir-383-v2_pre,Mir-383,4
180,Hsa-Mir-1913_pre,Mir-1913,4
181,Hsa-Mir-580_pre,Mir-580,4
182,Hsa-Mir-552_pre,Mir-552,4
183,Hsa-Mir-101-P1-v1_pre,Mir-101,2
184,Hsa-Mir-199-P1-v3_pre,Mir-199,4
185,Hsa-Mir-550-P3_pre,Mir-550,0
186,Hsa-Mir-1296_pre,Mir-1296,4
187,Hsa-Mir-19-P2b_pre,Mir-19,4
188,Hsa-Mir-598_pre,Mir-598,0
189,Hsa-Mir-1911_pre,Mir-1911,4
190,Hsa-Mir-670_pre,Mir-670,4
191,Hsa-Mir-1252_pre,Mir-1252,4
192,Hsa-Mir-544_pre,Mir-544,2
193,Hsa-Mir-3136_pre,Mir-3136,4
194,Hsa-Mir-154-P29_pre,Mir-154,2
195,Hsa-Mir-506-P13_pre,Mir-506,3
196,Hsa-Mir-506-P9_pre,Mir-506,3
197,Hsa-Mir-430-P48_pre,Mir-430,2
198,Hsa-Mir-4662_pre,Mir-4662,4
199,Hsa-Mir-337-v1_pre,Mir-337,4
200,Hsa-Mir-122_pre,Mir-122,4
201,Hsa-Mir-27-P1_pre,Mir-27,0
202,Hsa-Mir-143_pre,Mir-143,3
203,Hsa-Mir-1286_pre,Mir-1286,4
204,Hsa-Mir-362-P5_pre,Mir-362,4
205,Hsa-Mir-605-v2_pre,Mir-605,4
206,Hsa-Mir-154-P3a-v2_pre,Mir-154,2
207,Hsa-Mir-375_pre,Mir-375,4
